4340.4550,0.0124,-1.5631,-0.0310,-1.5841,-0.0303,-0.0096,0.1149,0.0569,-0.2462,-0.1239,-0.2641,-0.0854,2.0019,0.9791,-1.0161,-0.3634,-0.4042,-0.2896,2.0459,1.2617,-1.2909,-0.3694,-0.4452,-0.3222,5.0449,-2.3357,-3.3976,-0.5595,-0.8540,-0.2799
4340.4670,0.0138,-1.5624,-0.0341,-1.5857,-0.0336,-0.0107,0.1243,0.0596,-0.2578,-0.1341,-0.2743,-0.0908,2.1610,1.0986,-1.1338,-0.3158,-0.4238,-0.3114,2.0634,1.2717,-1.2964,-0.3719,-0.4502,-0.3241,5.0453,-2.2930,-3.2976,-0.5500,-0.8574,-0.2799
4340.4770,0.0151,-1.5618,-0.0368,-1.5870,-0.0364,-0.0117,0.1316,0.0646,-0.2642,-0.1362,-0.2899,-0.0944,1.6297,0.9407,-0.8870,-0.3351,-0.3598,-0.2297,2.1228,1.3253,-1.1351,-0.3700,-0.4425,-0.3200,5.6210,-1.6916,-1.6308,-0.5074,-0.7459,-0.2230
4340.4870,0.0164,-1.5611,-0.0395,-1.5884,-0.0394,-0.0126,0.1383,0.0666,-0.2698,-0.1439,-0.3008,-0.0945,2.1410,0.7794,-0.9469,-0.3910,-0.3718,-0.3080,2.1395,1.3321,-1.1336,-0.3721,-0.4461,-0.3213,5.6214,-1.6527,-1.5404,-0.4986,-0.7491,-0.2230
4340.4970,0.0178,-1.5605,-0.0422,-1.5899,-0.0425,-0.0136,0.1474,0.0688,-0.2789,-0.1528,-0.3117,-0.0990,2.0490,0.6745,-0.8828,-0.3497,-0.4486,-0.3213,2.1563,1.3388,-1.1319,-0.3741,-0.4497,-0.3226,5.6219,-1.6130,-1.4493,-0.4895,-0.7523,-0.2230
4340.5070,0.0194,-1.5598,-0.0450,-1.5915,-0.0456,-0.0146,0.1532,0.0669,-0.2828,-0.1605,-0.3287,-0.1022,2.2490,1.0056,-1.0335,-0.3261,-0.4575,-0.3125,2.1731,1.3455,-1.1300,-0.3762,-0.4533,-0.3239,5.6225,-1.5744,-1.3557,-0.4804,-0.7556,-0.2230
4341.6210,0.7590,-1.2529,0.0441,-1.9376,-0.2297,0.0512,0.8024,0.7342,0.3255,0.1674,0.4259,0.3460,3.0648,0.2383,-0.7761,0.3798,0.3128,0.3541,2.5316,0.2365,-0.4539,0.4328,0.3873,0.3835,-1.6007,-27.7925,-14.5814,1.0631,-0.0846,-0.0622
4341.6310,0.7669,-1.2454,0.0472,-1.9358,-0.2254,0.0547,0.7898,0.7423,0.3083,0.1864,0.4216,0.3478,3.3636,0.3202,-0.4932,0.4009,0.3443,0.3351,2.5302,0.1593,-0.5127,0.4363,0.3879,0.3831,-1.5338,-28.8083,-15.0036,1.0257,-0.0747,-0.0622
4341.6410,0.7748,-1.2379,0.0502,-1.9338,-0.2213,0.0581,0.7835,0.7518,0.2969,0.2100,0.4162,0.3485,3.4361,0.2645,-0.6151,0.4054,0.3654,0.3613,2.5286,0.0821,-0.5712,0.4398,0.3885,0.3827,-1.4707,-29.8251,-15.4220,0.9881,-0.0647,-0.0622
4341.6530,0.7842,-1.2289,0.0537,-1.9312,-0.2162,0.0623,0.7753,0.7662,0.2844,0.2286,0.4071,0.3459,3.4761,0.0452,-0.7117,0.4264,0.3871,0.3600,2.5261,-0.0100,-0.6410,0.4439,0.3892,0.3823,-1.4007,-31.0379,-15.9202,0.9427,-0.0526,-0.0622
